Players
AS Rajpoot
MP Stoinis
M Markande
DPMD Jayawardene
JDP Oram
SM Harwood
MM Ali
P Ray Barman
C de Grandhomme
V Shankar
SO Hetmyer
Mohammad Nabi
S Dube
S Kaul
SMSM Senanayake
Azhar Mahmood
Gurkeerat Singh
P Awana
DB Das
S Sandeep Warrier
A Nortje
TU Deshpande
JO Holder
DP Vijaykumar
PM Sarvesh Kumar
Shahid Afridi
MF Maharoof
GD McGrath
Mohammad Asif
ST Jayasuriya
Mohammad Ashraful
PR Shah
RA Shaikh
Salman Butt
Mohammad Hafeez
AB Agarkar
Umar Gul
MV Boucher
RS Bopara
VY Mahesh
YA Abdulla
K Goel
JR Hopes
D Salunkhe
DS Lehmann
RE Levi
DJ Jacobs
CJ McKay
DE Bollinger
ND Doshi
J Suchith
P Suyal
NM Coulter-Nile
P Dubey
L Ablish
AUK Pathan
A Mithun
SP Fleming
VRV Singh
RR Sarwan
P Amarnath
U Kaul
R Rampaul
BJ Hodge
S Gopal
B Laughlin
JPR Scantlebury-Searles
M Prasidh Krishna
Kuldeep Yadav
H Klaasen
RT Ponting
BMAJ Mendis
MC Juneja
KK Cooper
MJ Santner
NJ Maddinson
SM Pollock
RR Raje
Anand Rajan
NLTC Perera
GH Vihari
BB Samantray
DJ Harris
TP Sudhindra
B Chipli
A Choudhary
MN van Wyk
M Ashwin
GC Viljoen
NA Saini
S Chanderpaul
SB Joshi
O Thomas
R Parag
MDKJ Perera
R Shukla
S Badree
Shakib Al Hasan
Rasikh Salam
KP Appanna
TK Curran
BE Hendricks
Shivam Sharma
SM Curran
Avesh Khan
S Lamichhane
RV Gomez
AC Thomas
NJ Rimmington
L Ngidi
JL Pattinson
RK Bhui
DR Shorey
VS Malik
R Sathish
PA Reddy
P Parameswaran
A Ashish Reddy
V Pratap Singh
Bipul Sharma
T Kohli
A Mukund
AP Dole
MJ Lumb
J Theron
IR Jaggi
PJ Cummins
N Saini
DR Sams
LJ Wright
BAW Mendis
Harpreet Brar
CJ Jordan
A Chopra
T Taibu
Shoaib Akhtar
PD Collingwood
AB Barath
B Akhil
W Jaffer
AS Yadav
SB Bangar
MJ Clarke
AA Chavan
AP Majumdar
D Kalyankrishna
CR Woakes
K Khejroliya
SE Rutherford
AJ Turner
AA Bilakhia
Shoaib Ahmed
FH Edwards
Anureet Singh
M Klinger
SP Goswami
AC Blizzard
Karanveer Singh
KL Nagarkoti
Shivam Mavi
CV Varun
LE Plunkett
MG Neser
AB McDonald
JW Hastings
DNT Zoysa
DJ Thornely
LPC Silva
H Das
B Stanlake
DAJ Bracewell
Misbah-ul-Haq
Harmeet Singh
RS Gavaskar
TR Birt
Sachin Baby
MN Samuels
AD Mascarenhas
KAJ Roach
MB Parmar
JJ Roy
D Padikkal
Mashrafe Mortaza
TM Srivastava
RS Sodhi
TD Paine
AG Murtaza
AN Ahmed
AD Hales
S Narwal
BR Dunk
RR Rossouw
RJ Peterson
S Rana
RJ Quiney
CK Langeveldt
SS Sarkar
T Henderson
Yashpal Singh
SS Shaikh
Harpreet Singh
KB Arun Karthik
S Midhun
BJ Rohrer
I Malhotra
DJM Short
JE Taylor
GR Napier
MS Wade
L Ronchi
J Arunkumar
T Banton
I Udana
Y Gnaneswara Rao
JR Hazlewood
RD Gaikwad
KW Richardson
T Shamsi
SA Abbott
AR Bawne
SP Jackson
Shoaib Malik
UT Khawaja
J Syed Mohammad
LS Livingstone
MK Lomror
Kartik Tyagi
JP Behrendorff
AS Joseph
SD Lad
MA Wood
NL McCullum
Sunny Gupta
AN Ghosh
F Behardien
P Prasanth
CJ Green
B Sumanth
DM Bravo
DJ Muthuswami
KMDN Kulasekara
R Bishnoi
M de Lange
Swapnil Singh
AT Carey
Anirudh Singh
C Nanda
S Sriram
D du Preez
PSP Handscomb
SM Boland
VS Yeligati
MA Khote
Gagandeep Singh
DT Patil
SS Mundhe
RG More
Harmeet Singh (2)
A Uniyal
YBK Jaiswal
C Madan
ER Dwivedi
JR Philippe
JJ van der Wath
AS Roy
SC Kuggeleijn
AA Noffke
B Geeves
A Nel
X Thalaivan Sargunam
VH Zol
A Dananjaya
R Ninan
K Santokie
Monu Kumar
RR Bose
TS Mills
GS Sandhu
RR Bhatkal
Tejas Baroka
Vishnu Vinod
KM Asif
CJ Dala
Abdur Razzak
Younis Khan
DR Martyn
BJ Haddin
AA Kazi
RW Price
SS Agarwal
NB Singh
MJ Henry
JL Denly
N Jagadeesan
